Colony ID,latDD,lonDD,Region,Subregion,Site,,,,,,,
LC-003,26.145272,-80.097372,ECA,North,NorthECA,,,,,,,
LC-005,26.123033,-80.094183,ECA,North,NorthECA,,,,,,,
LC-007,26.032500,-80.103750,ECA,Middle,MiddleECA,,,,,,,
LC-013,25.981650,-80.108233,ECA,Middle,MiddleECA,,,,,,,
LC-016,25.914417,-80.107883,ECA,Middle,MiddleECA,,,,,,,
LC-018,25.815750,-80.104733,ECA,Middle,MiddleECA,,,,,,,
LC-024,25.802067,-80.105150,ECA,Middle,MiddleECA,,,,,,,
LC-041,26.145236,-80.097400,ECA,North,NorthECA,,,,,,,
LC-042,26.145270,-80.097427,ECA,North,NorthECA,,,,,,,
LC-043,26.145271,-80.097440,ECA,North,NorthECA,,,,,,,
LC-045,26.145301,-80.097452,ECA,North,NorthECA,,,,,,,
LC-048,26.145273,-80.097507,ECA,North,NorthECA,,,,,,,
LC-049,26.145257,-80.097555,ECA,North,NorthECA,,,,,,,
LC-052,26.145213,-80.097483,ECA,North,NorthECA,,,,,,,
LC-053,26.145230,-80.097520,ECA,North,NorthECA,,,,,,,
LC-055,26.145277,-80.097768,ECA,North,NorthECA,,,,,,,
LC-056,26.145245,-80.098035,ECA,North,NorthECA,,,,,,,
LC-058,26.030158,-80.104849,ECA,Middle,MiddleECA,,,,,,,
LC-062,25.708469,-80.128950,ECA,South,SouthECA,,,,,,,
LC-064,25.708428,-80.128726,ECA,South,SouthECA,,,,,,,
LC-077,25.706424,-80.126790,ECA,South,SouthECA,,,,,,,
LC-078,26.145294,-80.097573,ECA,North,NorthECA,,,,,,,
LC-079,25.706197,-80.122062,ECA,South,SouthECA,,,,,,,
LC-085,25.705766,-80.121606,ECA,South,SouthECA,,,,,,,
LC-088,25.705650,-80.125914,ECA,South,SouthECA,,,,,,,
LC-101,25.702800,-80.126805,ECA,South,SouthECA,,,,,,,
LC-110,25.705760,-80.121592,ECA,South,SouthECA,,,,,,,
LC-114,25.706943,-80.130009,ECA,South,SouthECA,,,,,,,
LC-115,26.176153,-80.093864,ECA,North,NorthECA,,,,,,,
LC-122,25.947883,-80.109134,ECA,Middle,MiddleECA,,,,,,,
LC-123,25.812996,-80.101225,ECA,Middle,MiddleECA,,,,,,,
LC-124,25.812286,-80.104402,ECA,Middle,MiddleECA,,,,,,,
LC-125,25.799439,-80.100964,ECA,Middle,MiddleECA,,,,,,,
LC-126,25.791431,-80.100542,ECA,Middle,MiddleECA,,,,,,,
LC-127,25.790373,-80.101779,ECA,Middle,MiddleECA,,,,,,,
LC-129,25.767185,-80.099571,ECA,Middle,MiddleECA,,,,,,,
LC-157,25.948090,-80.109210,ECA,Middle,MiddleECA,,,,,,,
MC-002,26.055383,-80.098550,ECA,Middle,MiddleECA,,,,,,,
MC-005,25.764917,-80.101898,ECA,Middle,MiddleECA,,,,,,,
MC-011,25.708469,-80.128950,ECA,South,SouthECA,,,,,,,
MC-014,25.708469,-80.128950,ECA,South,SouthECA,,,,,,,
MC-019,25.666561,-80.125049,ECA,South,SouthECA,,,,,,,
MC-026,25.708941,-80.128771,ECA,South,SouthECA,,,,,,,
MC-027,25.708312,-80.128800,ECA,South,SouthECA,,,,,,,
MC-032,26.145155,-80.097716,ECA,North,NorthECA,,,,,,,
617,24.5452059779,-81.4074205103,Key,Looe,LooeKey,,,,,,,
663,24.5448086554,-81.4076212430,Key,Looe,LooeKey,,,,,,,
675,24.5454430995,-81.4081836343,Key,Looe,LooeKey,,,,,,,
679,24.5452115972,-81.4079912361,Key,Looe,LooeKey,,,,,,,
689,24.5449638327,-81.4080798168,Key,Looe,LooeKey,,,,,,,
693,24.5449745861,-81.4081831794,Key,Looe,LooeKey,,,,,,,
695,24.5448500000,-81.4081170000,Key,Looe,LooeKey,,,,,,,
699,24.5454219025,-81.4085547730,Key,Looe,LooeKey,,,,,,,
713,24.5453030000,-81.4086070000,Key,Looe,LooeKey,,,,,,,
719,24.5448090666,-81.4084907962,Key,Looe,LooeKey,,,,,,,
741,24.5447975430,-81.4087834324,Key,Looe,LooeKey,,,,,,,
753,24.5451944556,-81.4089639920,Key,Looe,LooeKey,,,,,,,
765,24.5447108518,-81.4087388939,Key,Looe,LooeKey,,,,,,,
1004,24.4517697246,-81.8772189024,Key,Sand,SandKey,,,,,,,
1220,24.5450127290,-81.4086609401,Key,Looe,LooeKey,,,,,,,
1280,24.4517944167,-81.8771740628,Key,Sand,SandKey,,,,,,,
1332,24.4521545630,-81.8765634986,Key,Sand,SandKey,,,,,,,
1340,24.4519099187,-81.8767965237,Key,Sand,SandKey,,,,,,,
1452,24.4518830000,-81.8771670000,Key,Sand,SandKey,,,,,,,
1455,24.4519483429,-81.8771170623,Key,Sand,SandKey,,,,,,,
1463,24.4519076907,-81.8771629951,Key,Sand,SandKey,,,,,,,
1470,24.4514328626,-81.8775449305,Key,Sand,SandKey,,,,,,,
3342,24.4518890000,-81.8772440000,Key,Sand,SandKey,,,,,,,
3343,24.4519014881,-81.8770661003,Key,Sand,SandKey,,,,,,,
3420,24.4519181681,-81.8773339020,Key,Sand,SandKey,,,,,,,
3421,24.5449164155,-81.4085337306,Key,Looe,LooeKey,,,,,,,
3446,24.5452742141,-81.4079902842,Key,Looe,LooeKey,,,,,,,
4360,24.4522100000,-81.8763560000,Key,Sand,SandKey,,,,,,,
4503,24.4520855579,-81.8774570515,Key,Sand,SandKey,,,,,,,
4616,24.4519460133,-81.8771746959,Key,Sand,SandKey,,,,,,,
N-46,24.4519467504,-81.8770961075,Key,Sand,SandKey,,,,,,,
N-48,24.5450022366,-81.4088155345,Key,Looe,LooeKey,,,,,,,
N-49,24.4517758433,-81.8771579659,Key,Sand,SandKey,,,,,,,
N-50,24.5450991116,-81.4088357914,Key,Looe,LooeKey,,,,,,,
N-52,24.5452389097,-81.4087995069,Key,Looe,LooeKey,,,,,,,
N-53,24.5448617380,-81.4082160522,Key,Looe,LooeKey,,,,,,,
N-54,24.5452409152,-81.4084965992,Key,Looe,LooeKey,,,,,,,
N-56,24.5452529906,-81.4084295371,Key,Looe,LooeKey,,,,,,,
N-58,24.5453770679,-81.4084083239,Key,Looe,LooeKey,,,,,,,
N-59,24.5451924227,-81.4082289121,Key,Looe,LooeKey,,,,,,,
N-60,24.4518470000,-81.8772240000,Key,Sand,SandKey,,,,,,,
N-67,24.4518470000,-81.8772290000,Key,Sand,SandKey,,,,,,,
N-70,24.4519034997,-81.8773143722,Key,Sand,SandKey,,,,,,,
N-72,24.4519706388,-81.8773124443,Key,Sand,SandKey,,,,,,,
N-73,24.4516754330,-81.8772460124,Key,Sand,SandKey,,,,,,,