"sample","Symbiodinium","Breviolum","Cladocopium","Durusdinium"
"P001",0.9845107273678703,0.0057561486132914706,0.009070294784580499,6.628292342578057e-4
"P002",0.9686236229256728,0.0064147259796402175,0.02342769488216427,0.0015339562125226607
"P003",0.9599968624990195,0.01529531727978665,0.022903757157424112,0.0018040630637697075
"P004",0.9663028378646557,0.014129787656281008,0.016669974201230404,0.0028974002778329034
"P005",0.9636497424576895,0.012141280353200883,0.02163355408388521,0.0025754231052244297
"P006",0.9705790297339593,0.012474849094567404,0.014978761457634698,0.001967359713838587
"P007",0.031578947368421054,0.02548476454293629,0.938781163434903,0.004155124653739612
"P008",0.9593185863208746,0.010933129926264938,0.025997965929316042,0.003750317823544368
"P009",0.9772060144970945,0.009405139878991194,0.011471874438387347,0.0019169711855268675
"P010",0.9565881604073838,0.010439210693825588,0.02864417568427753,0.004328453214513049
"P011",0.03901789113056719,0.03578226113437381,0.9160639512752189,0.009135896459840122
"P012",0.9483133503137231,0.009939740324284027,0.03360874697148537,0.008138162390507547
"P013",0.965807872809118,0.01149315199693516,0.020975002394406667,0.0017239727995402739
"P014",0.9609842228171099,0.015948054906874752,0.020162897989405935,0.0029048242866093294
"P015",0.9669304456476469,0.010412328196584756,0.02015826738858809,0.0024989587671803417
"P018",0.012728095309908007,0.012667772583320766,0.970803800331775,0.0038003317749962296
"P019",0.9770499327890889,0.007278449886888955,0.013474968033834956,0.002196649290187207
"P020",0.9842829076620825,0.004798246939700771,0.009709838295299984,0.0012090071029167296
"P021",0.9807661262424759,0.007010908420008764,0.01081617121376352,0.0014067941237517585
"P022",0.9772727272727273,0.009200641512619229,0.011163163670127459,0.0023634675445260403
"P023",0.9715893536121673,0.010007604562737643,0.01590874524714829,0.002494296577946768
"P024",0.9693978282329714,0.00680048261489525,0.022814522320938904,9.871668311944718e-4
"P025",0.9738848920863309,0.008884892086330936,0.014316546762589928,0.0029136690647482014
"P026",0.9705477092662763,0.009429900103341372,0.017481915260075784,0.0025404753703065796
"P027",0.964372050189939,0.012605042016806723,0.019972372510648095,0.0030505352826061933
"P028-1",0.009175632398978086,0.010219135691410888,0.978122413731064,0.0024828181785470117
"P029",0.9670103092783505,0.00808881839809675,0.023076923076923078,0.001823949246629659
"P030",0.9677808907351947,0.011689691817215728,0.017969278330596077,0.002560139116993527
"P031",0.9717738339427451,0.010166770712565772,0.016810844555426738,0.0012485507892624633
"P032",0.9749565853212686,0.007906041495292934,0.015035188739603326,0.002102184443835116
"P033",0.9800410256410257,0.007302564102564102,0.010974358974358974,0.001682051282051282
"P034",0.9570544987746529,0.012020072353833585,0.028941533434473102,0.0019838954370404948
"P035",0.967337807606264,0.009197116579666915,0.020233656475267214,0.003231419338801889
"P036",0.9769458697694587,0.007552215075522151,0.013731300137313001,0.0017706150177061503
"P037",0.9654409731821952,0.009676527508985348,0.023223666021564834,0.0016588332872546309
"P038",0.015923395556511916,0.013663994835655495,0.9675614610791328,0.002851148528699769
"P039",0.9674549000487567,0.009141882008776206,0.022062408581179912,0.001340809361287177
"P040",0.9778733482921964,0.007292445774121167,0.014086262777362253,7.479431563201197e-4
"P042",0.9789713245334547,0.004278561675011379,0.014110150204824761,0.0026399635867091487
"P043",0.9834187667913831,0.006147912511743667,0.009098251223813683,0.0013350694730596166
"P044",0.9740272814214527,0.009160920118789953,0.014169225348567977,0.0026425731111894097
"P045",0.9820525411244783,0.006064326049594893,0.010115394058433588,0.0017677387674932482
"P046-1",0.9777991147748296,0.006604060794829161,0.01292709772604857,0.0026697267042926397
"P047",0.970995524782572,0.007810520982859073,0.01781643164738664,0.003377522587182302
"P048",0.9543578160292858,0.009151803099929901,0.02706597087000545,0.009424410000778876
"P049",0.9463258589400511,0.010888622312448094,0.03315800805881086,0.009627510688689982
"P050",0.9605263157894737,0.007918025151374011,0.025209594783418724,0.006346064275733582
"P051",0.9664739884393063,0.01064800730149072,0.02056586553087922,0.0023121387283236996
"P052",0.9481418680231737,0.013353115727002967,0.031439875653525504,0.007065140596297866
"P053",0.9531760435571688,0.011494252873563218,0.029885057471264367,0.0054446460980036296
"P054",0.9446194777007632,0.013512567387803683,0.034026465028355386,0.007841489883077785
"P055",0.8929569266589057,0.008847497089639115,0.09045401629802095,0.007741559953434226
"P056",0.9730270242551664,0.008768781088149326,0.016204297215527408,0.0019998974411568637
"P057",0.9637647445195544,0.009496702153862996,0.02051232929198938,0.0062262240345931745
"P058",0.9477114768266772,0.008894810760200223,0.03453491303251827,0.00885879938060427
"P059",0.9004104558219918,0.018686541369626268,0.0655649168286887,0.015338085979693238
"P060",0.3557017543859649,0.0035087719298245615,0.477046783625731,0.16374269005847952
"P061",0.9592704911127959,0.010993176648976498,0.02514531210513015,0.004591020133097465
"P062",0.9283742554118843,0.01220398082231585,0.047072497457504,0.012349266308295801
"P063",0.9751488095238096,0.0078125,0.015104166666666667,0.0019345238095238096
"P064",0.95079950799508,0.01025010250102501,0.03331283312833128,0.005637556375563756
"P065",0.9692290964444927,0.009822043419955783,0.01725200246457178,0.0036968576709796672
"P066",0.8854400398903016,0.016891049613562702,0.07516828721017203,0.0225006232859636
"P067",0.9693118193200879,0.01004039783599896,0.016796994967988848,0.003850787875924307
"P068",0.9374694913599532,0.009616323342770672,0.03949038367665723,0.01342380162061896
"P069",0.9436228647310919,0.012373996499064404,0.03422466348765618,0.009778475282187482
"P070",0.9568480300187617,0.00878048780487805,0.027692307692307693,0.006679174484052533
"P071",0.9655008553506937,0.011404675917126022,0.019197871127162137,0.0038965976050180573
"P072",0.9607574329534744,0.010281895296032902,0.024119612715277183,0.004841059035215491
"P073",0.9765852542231839,0.005076142131979695,0.013824165765166015,0.004514437879670467
"P074",0.9397610979908957,0.007769449293219701,0.04083239210048944,0.011637060615395147
"P075",0.9560409924487594,0.016219756511018646,0.023154569271074125,0.004584681769147788
"P076",0.9830971290117878,0.006384247062669462,0.008403361344537815,0.002115262581004942
"P077-1",0.9362843729040912,0.006343617259110217,0.0441258663089649,0.01324614352783367
"P078",0.9689397371998187,0.006592659719075669,0.019800634345265064,0.004666968735840507
"P079",0.9779891304347826,0.00794836956521739,0.011186594202898551,0.0028759057971014493
"P080",0.9810220397054893,0.006001992564333099,0.010618909921512406,0.0023570578086652247
"P081",0.9904818833915763,0.0037244804119919072,0.004327345554125028,0.0014662906423068276
"P082",0.9102167182662538,0.005981657807114901,0.06094982183538758,0.02285180209124365
"P083",0.9845689214772966,0.00578477627189951,0.007460107581813265,0.002186194668990594
"P084",0.9748818222953913,0.006200117455641241,0.014219834599351106,0.004698225649616344
"P085",0.9690682614731896,0.005223250259706216,0.01905806739740391,0.006650420869700294
"P086",0.961272955036115,0.005503878035128868,0.026399957354940162,0.006823209573815933
"P087",0.9477856356153267,0.005898208799489884,0.03482406816996116,0.011492087415222306
"P088",0.9816578352540112,0.00601215400007411,0.009115500055582317,0.0032145106903323823
"P089",0.9896239337031768,0.0037072489674174593,0.0050928398796334,0.0015759774497723295
"P090",0.9746239908200484,0.004016228843080201,0.016573091266751362,0.004786689070120077
