tube_id,species,collection_date,collection_time,county,region,region_short,site,site_lat,site_long,bag_number,sample_id,collection_depth_ft,collection_depth_m,color_morph_field,lineage
P002,Porites astreoides,1/14/2021,10:26,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,4,14-I-21-1-002,73,22.25,brown,Pink
P003,Porites astreoides,1/14/2021,10:29,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,25,14-I-21-1-003,73,22.25,brown,Pink
P004,Porites astreoides,1/14/2021,10:32,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,36,14-I-21-1-004,73,22.25,yellow,NA
P006,Porites astreoides,1/14/2021,10:37,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,38,14-I-21-1-006,77,23.47,brown,Pink
P008,Porites astreoides,1/14/2021,10:45,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,352,14-I-21-1-008,68,20.73,brown,Green
P009,Porites astreoides,1/14/2021,10:48,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,353,14-I-21-1-009,69,21.03,brown,Pink
P010,Porites astreoides,1/14/2021,10:50,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,354,14-I-21-1-010,70,21.34,yellow,Green
P011,Porites astreoides,1/14/2021,10:52,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,367,14-I-21-1-011,69,21.03,brown,Green
P014,Porites astreoides,1/14/2021,10:58,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,362,14-I-21-1-014,68,20.73,brown,NA
P015,Porites astreoides,1/14/2021,11:00,Palm Beach,Jupiter,Jupiter,SELF-06,26.897735,-80.01638333,52,14-I-21-1-015,70,21.34,brown,Green
P019,Porites astreoides,1/15/2021,10:56,Palm Beach,West Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,33,15-I-21-1-004,51,15.54,brown,Green
P020,Porites astreoides,1/15/2021,11:04,Palm Beach,West Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,34,15-I-21-1-005,50,15.24,brown,Green
P022,Porites astreoides,1/15/2021,11:09,Palm Beach,West Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,36,15-I-21-1-007,50,15.24,brown,Green
P024,Porites astreoides,1/15/2021,11:16,Palm Beach,West Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,38,15-I-21-1-009,47,14.33,brown,Green
P027,Porites astreoides,1/15/2021,12:00,Palm Beach,West Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,21,15-I-21-2-001,47,14.33,brown,NA
P028-2,Porites astreoides,1/15/2021,12:02,Palm Beach,West Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,22,15-I-21-2-002,46,14.02,brown,Green
P029,Porites astreoides,1/15/2021,12:05,Palm Beach,West Palm Beach,West Palm Beach,SEFL-12,26.65238667,-80.02068167,23,15-I-21-2-003,46,14.02,brown,Green
P031,Porites astreoides,1/21/2021,10:20,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,1,21-I-21-1-001,48,14.63,yellow,Green
P032,Porites astreoides,1/21/2021,10:24,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,2,21-I-21-1-002,49,14.94,brown,Green
P033,Porites astreoides,1/21/2021,10:25,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,4,21-I-21-1-003,50,15.24,brown,Green
P034,Porites astreoides,1/21/2021,10:29,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,5,21-I-21-1-004,61,18.59,brown,Green
P035,Porites astreoides,1/21/2021,10:31,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,46,21-I-21-1-005,59,17.98,brown,Green
P038,Porites astreoides,1/21/2021,10:39,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,49,21-I-21-1-008,65,19.81,brown,Green
P040,Porites astreoides,1/21/2021,10:44,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,67,21-I-21-1-010,67,20.42,brown,Green
P043,Porites astreoides,1/21/2021,10:49,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,70,21-I-21-1-013,68,20.73,brown,Green
P044,Porites astreoides,1/21/2021,10:50,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,61,21-I-21-1-014,67,20.42,brown,Purple
P045,Porites astreoides,1/21/2021,10:53,Palm Beach,Boynton Beach,Boynton Beach,SEFL-16,26.5235517,-80.031692,62,21-I-21-1-015,69,21.03,brown,Green
P049,Porites astreoides,2/5/2021,10:24,St. Lucie,St. Lucie Reef,SLR,Central,27.13166667,-80.1340333,4,21-II-21-1-004,9,2.74,not recorded,Green
P057,Porites astreoides,2/5/2021,10:37,St. Lucie,St. Lucie Reef,SLR,Central,27.13166667,-80.1340333,12,21-II-21-1-012,11,3.35,not recorded,Green
P073,Porites astreoides,2/5/2021,11:05,St. Lucie,St. Lucie Reef,SLR,Central,27.13166667,-80.1340333,28,21-II-21-1-028,10,3.05,not recorded,NA
P077-3,Porites astreoides,3/2/2021,11:35,Broward,Pompano/LBTS,Ft. Lauderdale,BC1,26.14758,-80.0961,33,2-III-21-1-002,22,6.71,not recorded,Purple
P078,Porites astreoides,3/2/2021,11:42,Broward,Pompano/LBTS,Ft. Lauderdale,BC1,26.14758,-80.0961,34,2-III-21-1-003,23,7.01,not recorded,Green
P083,Porites astreoides,3/2/2021,12:09,Broward,Pompano/LBTS,Ft. Lauderdale,BC1,26.14758,-80.0961,330,2-III-21-1-008,22,6.71,not recorded,Green
P084,Porites astreoides,3/2/2021,12:12,Broward,Pompano/LBTS,Ft. Lauderdale,BC1,26.14758,-80.0961,341,2-III-21-1-009,24,7.32,not recorded,Purple
P085,Porites astreoides,3/2/2021,12:15,Broward,Pompano/LBTS,Ft. Lauderdale,BC1,26.14758,-80.0961,342,2-III-21-1-010,23,7.01,not recorded,Purple
P087,Porites astreoides,3/2/2021,12:18,Broward,Pompano/LBTS,Ft. Lauderdale,BC1,26.14758,-80.0961,344,2-III-21-1-012,23,7.01,not recorded,Purple
